name;subject;send_date;send;delivered;opened
Офис 1 139,5 кв.м. в NEO GEO со скидкой 31%!;Офис 1 139,5 кв.м. в NEO GEO со скидкой 31%!;2017-01-10 13:38:38;2;2;0
Тест;Тест;2017-01-10 14:01:00;3;3;3
Офис 1 139,5 кв.м. в NEO GEO со скидкой 31%!;Офис 1 139,5 кв.м. в NEO GEO со скидкой 31%!;2017-01-11 07:00:00;293;261;78
Офис 1 139,5 кв.м. в NEO GEO со скидкой 31%!;Офис 1 139,5 кв.м. в NEO GEO со скидкой 31%!;2017-01-11 07:30:01;1551;1316;286
PARTNER SUPPORT STONE HEDGE ;PARTNER SUPPORT STONE HEDGE ;2017-01-18 08:30:47;3;3;3
PARTNER SUPPORT STONE HEDGE;PARTNER SUPPORT STONE HEDGE;2017-01-18 09:11:28;284;233;120
Готовый арендный бизнес от STONE HEDGE с Доходностью 12%!;Готовый арендный бизнес от STONE HEDGE с Доходностью 12%!;2017-01-19 12:23:36;276;265;113
Готовый арендный бизнес от STONE HEDGE с Доходностью 12%!;Готовый арендный бизнес от STONE HEDGE с Доходностью 12%!;2017-01-19 13:59:55;3;3;3
Приглашение :: брокер-тур с эффектом WOW!;Приглашение :: брокер-тур с эффектом WOW!;2017-02-07 11:10:50;4;4;4
Приглашение :: брокер-тур с эффектом WOW!;Приглашение :: брокер-тур с эффектом WOW!;2017-02-07 11:34:55;5;5;5
Приглашение на брокер-тур c эффектом WOW!;Приглашение на брокер-тур c эффектом WOW!;2017-02-07 11:49:35;273;273;131
Готовые арендные бизнесы с доходностью 12,5%;Готовые арендные бизнесы с доходностью 12,5%;2017-06-07 13:54:17;480;376;120
Открываем лето в ART RESIDENCE!;Открываем лето в ART RESIDENCE!;2017-07-03 12:20:12;0;0;0
Открываем лето в ART RESIDENCE!;Открываем лето в ART RESIDENCE!;2017-07-03 12:25:04;0;0;0
Открываем лето в ART RESIDENCE!;Открываем лето в ART RESIDENCE!;2017-07-03 13:01:28;0;0;0
Собственное лето в ART RESIDENCE!;Собственное лето в ART RESIDENCE!;2017-07-03 15:01:40;0;0;0
Открываем лето в ART RESIDENCE!;Открываем лето в ART RESIDENCE!;2017-07-03 13:31:10;2;2;2
Собственное лето в Art Residence!;Собственное лето в Art Residence!;2017-07-03 15:06:19;3;3;2
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-15 13:09:24;1;1;1
Тест;Тест;2017-11-17 16:20:25;4;4;2
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-17 17:00:00;4;4;3
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-20 08:09:14;2;2;2
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-20 08:14:10;1;1;1
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-20 08:36:00;2;2;2
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-20 10:00:00;0;0;0
СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ ЗАКРЫТЫХ ПРОДАЖ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-20 10:55:35;4;4;4
СТАРТ БРОНИРОВАНИЯ! НОВЫЙ ПРОЕКТ STONE HEDGE!;СТАРТ БРОНИРОВАНИЯ! НОВЫЙ ПРОЕКТ STONE HEDGE!;2017-11-20 12:13:34;1027;979;460
